AwayGoals,AwayPos,aShots,aOnt,aOft,aBlock,aPass,aClear,aCorners,aOff,aTackles,aAerial,aSaves,aFouls,aFoulsW,aYellow,aRed
2,48.9,19,6,7,6,83.7,5,8,3,71.4,62.2,2,12,9,3,0
2,45.8,15,4,6,5,77.5,2,7,2,66.7,61,1,11,11,0,0
0,37.1,5,1,1,3,69.2,0,3,1,72.7,55.3,1,16,9,3,0
1,52.8,7,2,3,2,83,0,2,0,80.8,43.3,1,13,11,2,0
3,30,13,7,2,4,67,1,5,1,72.2,51.2,4,9,10,0,0
2,54.2,7,3,3,1,82.2,0,3,2,57.1,52.2,3,11,11,5,0
0,26.9,5,4,1,0,71.6,2,0,2,35.7,43.8,4,4,6,1,0
3,74.7,14,6,5,3,89,0,4,1,41.7,53.1,1,5,9,0,0
1,27.9,5,3,0,2,61.9,3,1,2,75,55.9,1,16,9,1,0
1,37,13,4,6,3,67.1,1,7,1,23.1,40.5,0,13,16,1,0
1,42.8,12,3,6,3,79.1,0,3,1,30,54.2,3,9,8,1,0
3,50,10,5,5,0,83.7,4,0,3,44.4,42.3,2,11,8,0,0
4,76.9,26,10,6,10,89.9,3,8,3,45.5,41.4,1,11,14,0,0
0,69,7,0,4,3,88.4,1,9,1,100,51.6,2,19,13,4,0
0,37.5,12,1,4,7,76.5,1,7,1,53.3,48.3,3,12,13,2,0
1,49.4,5,2,3,0,77.8,1,1,2,70,57.1,0,19,11,3,0
0,46.6,7,3,1,3,77.7,0,2,1,38.5,45,3,15,11,1,0
2,57,16,8,3,5,69,3,6,1,54.5,52.6,3,11,11,2,0
0,71,24,6,8,10,90.4,0,13,0,50,61.1,1,10,15,1,0
2,57.7,23,8,7,8,86.3,2,8,1,53.8,55.2,2,16,8,0,0
1,59.4,14,3,6,5,76.5,1,3,2,56.3,35.5,1,11,11,2,0
1,45.1,15,1,7,7,79.6,2,5,0,55.6,47.7,0,13,15,1,0
0,45.6,5,1,3,1,75.1,1,5,4,60,53.8,5,10,11,2,0
2,59.4,17,5,9,3,87.4,1,7,0,78.6,75,5,15,10,2,0
1,32.1,10,2,4,4,60.9,0,2,2,72.2,57.8,4,10,5,0,0
1,53.3,14,5,6,3,76.8,1,8,1,77.8,48.2,0,8,9,0,0
1,27.5,15,3,6,6,65.1,2,5,2,66.7,57.1,2,10,8,1,0
3,47.2,8,5,1,2,86.4,2,4,1,35.7,41.4,5,13,6,3,0
1,68.9,24,8,7,9,85,3,13,4,83.3,52.8,0,10,12,1,0
0,32.3,2,0,0,2,76.7,0,1,1,80,42.9,5,9,9,2,0
2,52.5,9,5,2,2,80.8,2,6,0,60,48.3,2,15,14,3,0
0,44.9,6,2,1,3,82.2,0,2,0,80,50,4,9,9,2,0
0,55.1,9,5,3,1,79.3,1,1,0,53.3,52.5,7,21,19,4,1
1,62.7,13,4,6,3,89,0,5,0,58.3,41.4,7,11,16,3,0
1,55.9,13,5,3,5,80.4,0,6,1,58.8,56.1,1,12,11,1,1
4,47.5,19,7,11,1,83.3,5,6,0,66.7,59.3,2,8,8,0,0
